,m_n,avg_error,std_error,target,ood
39,0.0,0.2518,0.0406,P,A
40,0.25,0.2218,0.0463,P,A
41,0.5,0.2179,0.0333,P,A
42,1.0,0.2182,0.0552,P,A
43,2.0,0.2257,0.0366,P,A
44,3.0,0.2254,0.0276,P,A
45,4.0,0.2121,0.0208,P,A
46,5.0,0.2293,0.026,P,A
47,6.0,0.2345,0.0252,P,A
48,7.0,0.2365,0.0206,P,A
49,8.0,0.2365,0.0206,P,A
50,9.0,0.2365,0.0206,P,A
51,10.0,0.2365,0.0206,P,A
26,0.0,0.2518,0.0406,P,C
27,0.25,0.2098,0.0238,P,C
28,0.5,0.2189,0.0345,P,C
29,1.0,0.2241,0.0359,P,C
30,2.0,0.2303,0.0271,P,C
31,3.0,0.1906,0.0323,P,C
32,4.0,0.1808,0.0232,P,C
33,5.0,0.1912,0.0294,P,C
34,6.0,0.1674,0.0193,P,C
35,7.0,0.1743,0.0255,P,C
36,8.0,0.1573,0.0149,P,C
37,9.0,0.172,0.0251,P,C
38,10.0,0.1619,0.0183,P,C
0,0.0,0.2518,0.0406,P,P
1,0.25,0.2166,0.0344,P,P
2,0.5,0.2114,0.0335,P,P
3,1.0,0.2202,0.0442,P,P
4,2.0,0.1638,0.0127,P,P
5,3.0,0.1436,0.0127,P,P
6,4.0,0.1296,0.0112,P,P
7,5.0,0.1309,0.0157,P,P
8,6.0,0.1248,0.018,P,P
9,7.0,0.1202,0.0099,P,P
10,8.0,0.1235,0.0179,P,P
11,9.0,0.1114,0.0073,P,P
12,10.0,0.1111,0.0072,P,P
52,0.0,0.2518,0.0406,P,Q
53,0.25,0.2169,0.0362,P,Q
54,0.5,0.2114,0.0351,P,Q
55,1.0,0.2134,0.0386,P,Q
56,2.0,0.2134,0.0497,P,Q
57,3.0,0.1889,0.0438,P,Q
58,4.0,0.1928,0.0413,P,Q
59,5.0,0.1896,0.0372,P,Q
60,6.0,0.1831,0.0366,P,Q
61,7.0,0.1938,0.0382,P,Q
62,8.0,0.1948,0.0305,P,Q
63,9.0,0.184,0.0364,P,Q
64,10.0,0.1987,0.0339,P,Q
13,0.0,0.2518,0.0406,P,S
14,0.25,0.2248,0.0416,P,S
15,0.5,0.2169,0.0307,P,S
16,1.0,0.1896,0.0414,P,S
17,2.0,0.2033,0.043,P,S
18,3.0,0.1902,0.0394,P,S
19,4.0,0.1912,0.0388,P,S
20,5.0,0.1925,0.0315,P,S
21,6.0,0.1863,0.0268,P,S
22,7.0,0.1886,0.0206,P,S
23,8.0,0.2192,0.0218,P,S
24,9.0,0.2065,0.0244,P,S
25,10.0,0.1961,0.0111,P,S
