,m,r,5
0,0.0,0.0,0.19599999999999995
1,0.0,1.0,0.1755
2,0.0,2.0,0.1895
3,0.0,3.0,0.1765
4,0.0,4.0,0.1815
5,0.0,5.0,0.18500000000000005
6,0.0,6.0,0.1795
7,0.0,7.0,0.1945
8,0.0,8.0,0.18200000000000005
9,0.0,9.0,0.18799999999999994
10,1.0,0.0,0.16200000000000003
11,1.0,1.0,0.16149999999999998
12,1.0,2.0,0.15949999999999998
13,1.0,3.0,0.15449999999999997
14,1.0,4.0,0.16149999999999998
15,1.0,5.0,0.16600000000000004
16,1.0,6.0,0.15149999999999997
17,1.0,7.0,0.15500000000000003
18,1.0,8.0,0.16000000000000003
19,1.0,9.0,0.15049999999999997
20,2.0,0.0,0.16300000000000003
21,2.0,1.0,0.14800000000000002
22,2.0,2.0,0.14749999999999996
23,2.0,3.0,0.15600000000000003
24,2.0,4.0,0.15400000000000003
25,2.0,5.0,0.14949999999999997
26,2.0,6.0,0.15949999999999998
27,2.0,7.0,0.15200000000000002
28,2.0,8.0,0.15500000000000003
29,2.0,9.0,0.16200000000000003
30,3.0,0.0,0.16000000000000003
31,3.0,1.0,0.15449999999999997
32,3.0,2.0,0.15649999999999997
33,3.0,3.0,0.14500000000000002
34,3.0,4.0,0.15549999999999997
35,3.0,5.0,0.15649999999999997
36,3.0,6.0,0.15800000000000003
37,3.0,7.0,0.15549999999999997
38,3.0,8.0,0.15549999999999997
39,3.0,9.0,0.14600000000000002
40,4.0,0.0,0.14900000000000002
41,4.0,1.0,0.15449999999999997
42,4.0,2.0,0.16000000000000003
43,4.0,3.0,0.15549999999999997
44,4.0,4.0,0.14900000000000002
45,4.0,5.0,0.14549999999999996
46,4.0,6.0,0.16300000000000003
47,4.0,7.0,0.1745
48,4.0,8.0,0.14900000000000002
49,4.0,9.0,0.15349999999999997
50,5.0,0.0,0.15249999999999997
51,5.0,1.0,0.16400000000000003
52,5.0,2.0,0.15649999999999997
53,5.0,3.0,0.16300000000000003
54,5.0,4.0,0.16700000000000004
55,5.0,5.0,0.15949999999999998
56,5.0,6.0,0.16000000000000003
57,5.0,7.0,0.16649999999999998
58,5.0,8.0,0.16900000000000004
59,5.0,9.0,0.15949999999999998
60,10.0,0.0,0.16249999999999998
61,10.0,1.0,0.15049999999999997
62,10.0,2.0,0.16149999999999998
63,10.0,3.0,0.16949999999999998
64,10.0,4.0,0.16900000000000004
65,10.0,5.0,0.15700000000000003
66,10.0,6.0,0.16349999999999998
67,10.0,7.0,0.14749999999999996
68,10.0,8.0,0.15400000000000003
69,10.0,9.0,0.16249999999999998
70,20.0,0.0,0.16200000000000003
71,20.0,1.0,0.15900000000000003
72,20.0,2.0,0.1785
73,20.0,3.0,0.16000000000000003
74,20.0,4.0,0.17049999999999998
75,20.0,5.0,0.17100000000000004
76,20.0,6.0,0.1735
77,20.0,7.0,0.1765
78,20.0,8.0,0.16249999999999998
79,20.0,9.0,0.17800000000000005
