,m,r,5
0,0.0,0.0,0.16000000000000003
1,0.0,1.0,0.16349999999999998
2,0.0,2.0,0.16649999999999998
3,0.0,3.0,0.15500000000000003
4,0.0,4.0,0.15149999999999997
5,0.0,5.0,0.15300000000000002
6,0.0,6.0,0.15949999999999998
7,0.0,7.0,0.16500000000000004
8,0.0,8.0,0.15949999999999998
9,0.0,9.0,0.16649999999999998
10,1.0,0.0,0.15300000000000002
11,1.0,1.0,0.14049999999999996
12,1.0,2.0,0.14149999999999996
13,1.0,3.0,0.13749999999999996
14,1.0,4.0,0.15449999999999997
15,1.0,5.0,0.14500000000000002
16,1.0,6.0,0.139
17,1.0,7.0,0.13649999999999995
18,1.0,8.0,0.14400000000000002
19,1.0,9.0,0.139
20,2.0,0.0,0.12549999999999994
21,2.0,1.0,0.124
22,2.0,2.0,0.13
23,2.0,3.0,0.129
24,2.0,4.0,0.11750000000000005
25,2.0,5.0,0.12749999999999995
26,2.0,6.0,0.12749999999999995
27,2.0,7.0,0.12649999999999995
28,2.0,8.0,0.12749999999999995
29,2.0,9.0,0.137
30,3.0,0.0,0.124
31,3.0,1.0,0.11550000000000005
32,3.0,2.0,0.11350000000000005
33,3.0,3.0,0.10999999999999999
34,3.0,4.0,0.123
35,3.0,5.0,0.11399999999999999
36,3.0,6.0,0.11550000000000005
37,3.0,7.0,0.11850000000000005
38,3.0,8.0,0.11950000000000005
39,3.0,9.0,0.11250000000000004
40,4.0,0.0,0.11750000000000005
41,4.0,1.0,0.11450000000000005
42,4.0,2.0,0.12050000000000005
43,4.0,3.0,0.12350000000000005
44,4.0,4.0,0.118
45,4.0,5.0,0.132
46,4.0,6.0,0.12
47,4.0,7.0,0.11050000000000004
48,4.0,8.0,0.12350000000000005
49,4.0,9.0,0.11950000000000005
50,5.0,0.0,0.11499999999999999
51,5.0,1.0,0.11350000000000005
52,5.0,2.0,0.11250000000000004
53,5.0,3.0,0.12050000000000005
54,5.0,4.0,0.11699999999999999
55,5.0,5.0,0.10499999999999998
56,5.0,6.0,0.11499999999999999
57,5.0,7.0,0.12749999999999995
58,5.0,8.0,0.11750000000000005
59,5.0,9.0,0.122
60,10.0,0.0,0.11450000000000005
61,10.0,1.0,0.11750000000000005
62,10.0,2.0,0.11150000000000004
63,10.0,3.0,0.13549999999999995
64,10.0,4.0,0.13149999999999995
65,10.0,5.0,0.11250000000000004
66,10.0,6.0,0.11550000000000005
67,10.0,7.0,0.11199999999999999
68,10.0,8.0,0.123
69,10.0,9.0,0.11699999999999999
70,20.0,0.0,0.126
71,20.0,1.0,0.11150000000000004
72,20.0,2.0,0.118
73,20.0,3.0,0.12350000000000005
74,20.0,4.0,0.122
75,20.0,5.0,0.10450000000000004
76,20.0,6.0,0.11599999999999999
77,20.0,7.0,0.10699999999999998
78,20.0,8.0,0.11399999999999999
79,20.0,9.0,0.11399999999999999
