,m,r,5
0,0.0,0.0,0.19599999999999995
1,0.0,1.0,0.1755
2,0.0,2.0,0.1895
3,0.0,3.0,0.1765
4,0.0,4.0,0.1815
5,0.0,5.0,0.18500000000000005
6,0.0,6.0,0.1795
7,0.0,7.0,0.1945
8,0.0,8.0,0.18200000000000005
9,0.0,9.0,0.18799999999999994
10,1.0,0.0,0.17000000000000004
11,1.0,1.0,0.15749999999999997
12,1.0,2.0,0.15800000000000003
13,1.0,3.0,0.15300000000000002
14,1.0,4.0,0.16400000000000003
15,1.0,5.0,0.15900000000000003
16,1.0,6.0,0.16349999999999998
17,1.0,7.0,0.15900000000000003
18,1.0,8.0,0.15700000000000003
19,1.0,9.0,0.15749999999999997
20,2.0,0.0,0.14949999999999997
21,2.0,1.0,0.15500000000000003
22,2.0,2.0,0.14849999999999997
23,2.0,3.0,0.14
24,2.0,4.0,0.14849999999999997
25,2.0,5.0,0.15500000000000003
26,2.0,6.0,0.15100000000000002
27,2.0,7.0,0.15100000000000002
28,2.0,8.0,0.14400000000000002
29,2.0,9.0,0.14549999999999996
30,3.0,0.0,0.15849999999999997
31,3.0,1.0,0.15749999999999997
32,3.0,2.0,0.14449999999999996
33,3.0,3.0,0.15200000000000002
34,3.0,4.0,0.14949999999999997
35,3.0,5.0,0.14900000000000002
36,3.0,6.0,0.15449999999999997
37,3.0,7.0,0.16249999999999998
38,3.0,8.0,0.14400000000000002
39,3.0,9.0,0.14549999999999996
40,4.0,0.0,0.16449999999999998
41,4.0,1.0,0.16000000000000003
42,4.0,2.0,0.15400000000000003
43,4.0,3.0,0.15400000000000003
44,4.0,4.0,0.14900000000000002
45,4.0,5.0,0.15800000000000003
46,4.0,6.0,0.14649999999999996
47,4.0,7.0,0.16049999999999998
48,4.0,8.0,0.15349999999999997
49,4.0,9.0,0.15700000000000003
50,5.0,0.0,0.15200000000000002
51,5.0,1.0,0.16000000000000003
52,5.0,2.0,0.15600000000000003
53,5.0,3.0,0.14849999999999997
54,5.0,4.0,0.14900000000000002
55,5.0,5.0,0.15149999999999997
56,5.0,6.0,0.15849999999999997
57,5.0,7.0,0.15349999999999997
58,5.0,8.0,0.14900000000000002
59,5.0,9.0,0.16400000000000003
60,10.0,0.0,0.15449999999999997
61,10.0,1.0,0.17149999999999999
62,10.0,2.0,0.16400000000000003
63,10.0,3.0,0.15400000000000003
64,10.0,4.0,0.15549999999999997
65,10.0,5.0,0.15949999999999998
66,10.0,6.0,0.16249999999999998
67,10.0,7.0,0.16649999999999998
68,10.0,8.0,0.15800000000000003
69,10.0,9.0,0.14849999999999997
70,20.0,0.0,0.14649999999999996
71,20.0,1.0,0.15800000000000003
72,20.0,2.0,0.16700000000000004
73,20.0,3.0,0.16149999999999998
74,20.0,4.0,0.1745
75,20.0,5.0,0.16449999999999998
76,20.0,6.0,0.1785
77,20.0,7.0,0.16449999999999998
78,20.0,8.0,0.16600000000000004
79,20.0,9.0,0.15149999999999997
