,m,r,5
0,0.0,0.0,0.3255
1,0.0,1.0,0.31499999999999995
2,0.0,2.0,0.30700000000000005
3,0.0,3.0,0.3335
4,0.0,4.0,0.3155
5,0.0,5.0,0.3245
6,0.0,6.0,0.32299999999999995
7,0.0,7.0,0.3085
8,0.0,8.0,0.31200000000000006
9,0.0,9.0,0.3235
10,1.0,0.0,0.3155
11,1.0,1.0,0.32799999999999996
12,1.0,2.0,0.31999999999999995
13,1.0,3.0,0.3245
14,1.0,4.0,0.3095
15,1.0,5.0,0.31499999999999995
16,1.0,6.0,0.30500000000000005
17,1.0,7.0,0.3215
18,1.0,8.0,0.3175
19,1.0,9.0,0.3145
20,2.0,0.0,0.31999999999999995
21,2.0,1.0,0.32899999999999996
22,2.0,2.0,0.3115
23,2.0,3.0,0.3035
24,2.0,4.0,0.3315
25,2.0,5.0,0.31000000000000005
26,2.0,6.0,0.3135
27,2.0,7.0,0.30900000000000005
28,2.0,8.0,0.3095
29,2.0,9.0,0.30700000000000005
30,3.0,0.0,0.30000000000000004
31,3.0,1.0,0.3255
32,3.0,2.0,0.31299999999999994
33,3.0,3.0,0.3175
34,3.0,4.0,0.30600000000000005
35,3.0,5.0,0.32899999999999996
36,3.0,6.0,0.3275
37,3.0,7.0,0.30900000000000005
38,3.0,8.0,0.3145
39,3.0,9.0,0.30700000000000005
40,4.0,0.0,0.32999999999999996
41,4.0,1.0,0.3235
42,4.0,2.0,0.31100000000000005
43,4.0,3.0,0.32299999999999995
44,4.0,4.0,0.32899999999999996
45,4.0,5.0,0.3115
46,4.0,6.0,0.31999999999999995
47,4.0,7.0,0.31200000000000006
48,4.0,8.0,0.3135
49,4.0,9.0,0.30900000000000005
50,5.0,0.0,0.31899999999999995
51,5.0,1.0,0.3155
52,5.0,2.0,0.31499999999999995
53,5.0,3.0,0.3135
54,5.0,4.0,0.31299999999999994
55,5.0,5.0,0.33799999999999997
56,5.0,6.0,0.3095
57,5.0,7.0,0.31399999999999995
58,5.0,8.0,0.3255
59,5.0,9.0,0.31699999999999995
60,10.0,0.0,0.3225
61,10.0,1.0,0.31399999999999995
62,10.0,2.0,0.31399999999999995
63,10.0,3.0,0.31100000000000005
64,10.0,4.0,0.31499999999999995
65,10.0,5.0,0.3085
66,10.0,6.0,0.3175
67,10.0,7.0,0.30900000000000005
68,10.0,8.0,0.3205
69,10.0,9.0,0.3155
70,20.0,0.0,0.31899999999999995
71,20.0,1.0,0.31599999999999995
72,20.0,2.0,0.32299999999999995
73,20.0,3.0,0.31999999999999995
74,20.0,4.0,0.30900000000000005
75,20.0,5.0,0.32199999999999995
76,20.0,6.0,0.31799999999999995
77,20.0,7.0,0.3155
78,20.0,8.0,0.32199999999999995
79,20.0,9.0,0.31100000000000005
