,m,r,1
0,0.0,0.0,0.3245
1,0.0,1.0,0.33399999999999996
2,0.0,2.0,0.3255
3,0.0,3.0,0.3315
4,0.0,4.0,0.3165
5,0.0,5.0,0.33499999999999996
6,0.0,6.0,0.32299999999999995
7,0.0,7.0,0.3345
8,0.0,8.0,0.3295
9,0.0,9.0,0.3185
10,1.0,0.0,0.3235
11,1.0,1.0,0.3205
12,1.0,2.0,0.3245
13,1.0,3.0,0.3325
14,1.0,4.0,0.32799999999999996
15,1.0,5.0,0.32599999999999996
16,1.0,6.0,0.3295
17,1.0,7.0,0.3285
18,1.0,8.0,0.3335
19,1.0,9.0,0.3225
20,2.0,0.0,0.3425
21,2.0,1.0,0.3405
22,2.0,2.0,0.34299999999999997
23,2.0,3.0,0.33899999999999997
24,2.0,4.0,0.36
25,2.0,5.0,0.3435
26,2.0,6.0,0.3375
27,2.0,7.0,0.34199999999999997
28,2.0,8.0,0.3415
29,2.0,9.0,0.33699999999999997
30,3.0,0.0,0.34950000000000003
31,3.0,1.0,0.34950000000000003
32,3.0,2.0,0.35250000000000004
33,3.0,3.0,0.34550000000000003
34,3.0,4.0,0.357
35,3.0,5.0,0.347
36,3.0,6.0,0.34450000000000003
37,3.0,7.0,0.36050000000000004
38,3.0,8.0,0.3375
39,3.0,9.0,0.345
40,4.0,0.0,0.35750000000000004
41,4.0,1.0,0.365
42,4.0,2.0,0.353
43,4.0,3.0,0.345
44,4.0,4.0,0.344
45,4.0,5.0,0.35750000000000004
46,4.0,6.0,0.35150000000000003
47,4.0,7.0,0.346
48,4.0,8.0,0.34850000000000003
49,4.0,9.0,0.34550000000000003
50,5.0,0.0,0.3415
51,5.0,1.0,0.347
52,5.0,2.0,0.34299999999999997
53,5.0,3.0,0.346
54,5.0,4.0,0.33099999999999996
55,5.0,5.0,0.35350000000000004
56,5.0,6.0,0.34950000000000003
57,5.0,7.0,0.3415
58,5.0,8.0,0.34299999999999997
59,5.0,9.0,0.33799999999999997
60,10.0,0.0,0.366
61,10.0,1.0,0.356
62,10.0,2.0,0.36
63,10.0,3.0,0.36950000000000005
64,10.0,4.0,0.349
65,10.0,5.0,0.348
66,10.0,6.0,0.37150000000000005
67,10.0,7.0,0.36
68,10.0,8.0,0.351
69,10.0,9.0,0.344
70,20.0,0.0,0.35
71,20.0,1.0,0.36250000000000004
72,20.0,2.0,0.37150000000000005
73,20.0,3.0,0.368
74,20.0,4.0,0.36650000000000005
75,20.0,5.0,0.354
76,20.0,6.0,0.36450000000000005
77,20.0,7.0,0.374
78,20.0,8.0,0.369
79,20.0,9.0,0.36450000000000005
