,m,r,2,2_alpha
0,0.0,0.0,0.25649999999999995,
1,0.0,1.0,0.26049999999999995,
2,0.0,2.0,0.24,
3,0.0,3.0,0.248,
4,0.0,4.0,0.247,
5,0.0,5.0,0.25349999999999995,
6,0.0,6.0,0.25249999999999995,
7,0.0,7.0,0.254,
8,0.0,8.0,0.242,
9,0.0,9.0,0.25349999999999995,
10,1.0,0.0,0.257,
11,1.0,1.0,0.266,
12,1.0,2.0,0.266,
13,1.0,3.0,0.25849999999999995,
14,1.0,4.0,0.268,
15,1.0,5.0,0.259,
16,1.0,6.0,0.269,
17,1.0,7.0,0.27349999999999997,
18,1.0,8.0,0.266,
19,1.0,9.0,0.259,
20,2.0,0.0,0.273,
21,2.0,1.0,0.267,
22,2.0,2.0,0.281,
23,2.0,3.0,0.266,
24,2.0,4.0,0.26049999999999995,
25,2.0,5.0,0.25949999999999995,
26,2.0,6.0,0.269,
27,2.0,7.0,0.2835,
28,2.0,8.0,0.272,
29,2.0,9.0,0.269,
30,3.0,0.0,0.279,
31,3.0,1.0,0.276,
32,3.0,2.0,0.27749999999999997,
33,3.0,3.0,0.2835,
34,3.0,4.0,0.26649999999999996,
35,3.0,5.0,0.28600000000000003,
36,3.0,6.0,0.27549999999999997,
37,3.0,7.0,0.27649999999999997,
38,3.0,8.0,0.2835,
39,3.0,9.0,0.27149999999999996,
40,4.0,0.0,0.26349999999999996,
41,4.0,1.0,0.278,
42,4.0,2.0,0.27849999999999997,
43,4.0,3.0,0.266,
44,4.0,4.0,0.25,
45,4.0,5.0,0.26149999999999995,
46,4.0,6.0,0.25949999999999995,
47,4.0,7.0,0.265,
48,4.0,8.0,0.27249999999999996,
49,4.0,9.0,0.263,
50,5.0,0.0,0.276,
51,5.0,1.0,0.269,
52,5.0,2.0,0.28400000000000003,
53,5.0,3.0,0.278,
54,5.0,4.0,0.276,
55,5.0,5.0,0.275,
56,5.0,6.0,0.279,
57,5.0,7.0,0.28500000000000003,
58,5.0,8.0,0.27649999999999997,
59,5.0,9.0,0.266,
60,10.0,0.0,0.29800000000000004,
61,10.0,1.0,0.2865,
62,10.0,2.0,0.29200000000000004,
63,10.0,3.0,0.30100000000000005,
64,10.0,4.0,0.281,
65,10.0,5.0,0.29900000000000004,
66,10.0,6.0,0.28600000000000003,
67,10.0,7.0,0.27749999999999997,
68,10.0,8.0,0.29300000000000004,
69,10.0,9.0,0.28400000000000003,
70,20.0,0.0,0.276,
71,20.0,1.0,0.30300000000000005,
72,20.0,2.0,0.2955,
73,20.0,3.0,0.3015,
74,20.0,4.0,0.29900000000000004,
75,20.0,5.0,0.278,
76,20.0,6.0,0.29500000000000004,
77,20.0,7.0,0.2965,
78,20.0,8.0,0.29600000000000004,
79,20.0,9.0,0.2985,
