,m,r,0,10,45,90,135
0,0.0,0.0,0.3245,0.3245,0.3245,0.3245,0.3245
1,0.0,1.0,0.3339999999999999,0.3339999999999999,0.3339999999999999,0.3339999999999999,0.3339999999999999
2,0.0,2.0,0.3255,0.3255,0.3255,0.3255,0.3255
3,0.0,3.0,0.3315,0.3315,0.3315,0.3315,0.3315
4,0.0,4.0,0.3165,0.3165,0.3165,0.3165,0.3165
5,0.0,5.0,0.3349999999999999,0.3349999999999999,0.3349999999999999,0.3349999999999999,0.3349999999999999
6,0.0,6.0,0.3229999999999999,0.3229999999999999,0.3229999999999999,0.3229999999999999,0.3229999999999999
7,0.0,7.0,0.3345,0.3345,0.3345,0.3345,0.3345
8,0.0,8.0,0.3295,0.3295,0.3295,0.3295,0.3295
9,0.0,9.0,0.3185,0.3185,0.3185,0.3185,0.3185
10,3.0,0.0,0.2584999999999999,0.2534999999999999,0.2744999999999999,0.3045,0.303
11,3.0,1.0,0.2405,0.2524999999999999,0.276,0.3085,0.307
12,3.0,2.0,0.2544999999999999,0.2604999999999999,0.283,0.3115,0.3229999999999999
13,3.0,3.0,0.2524999999999999,0.2534999999999999,0.277,0.3025,0.311
14,3.0,4.0,0.255,0.2485,0.281,0.2965,0.3159999999999999
15,3.0,5.0,0.255,0.2475,0.263,0.305,0.309
16,3.0,6.0,0.248,0.264,0.277,0.2955,0.3155
17,3.0,7.0,0.259,0.264,0.2855,0.308,0.3145
18,3.0,8.0,0.2544999999999999,0.256,0.2654999999999999,0.307,0.311
19,3.0,9.0,0.252,0.2574999999999999,0.2804999999999999,0.3075,0.3179999999999999
20,5.0,0.0,0.2279999999999999,0.2335,0.263,0.289,0.3085
21,5.0,1.0,0.2309999999999999,0.2435,0.2694999999999999,0.3005,0.299
22,5.0,2.0,0.2195,0.2329999999999999,0.2584999999999999,0.2975,0.2985
23,5.0,3.0,0.2339999999999999,0.239,0.2674999999999999,0.289,0.3095
24,5.0,4.0,0.2199999999999999,0.2329999999999999,0.2664999999999999,0.292,0.292
25,5.0,5.0,0.236,0.238,0.266,0.2935,0.3005
26,5.0,6.0,0.2279999999999999,0.2365,0.2684999999999999,0.3015,0.304
27,5.0,7.0,0.2285,0.2319999999999999,0.2604999999999999,0.2835,0.3055
28,5.0,8.0,0.2269999999999999,0.2405,0.2644999999999999,0.299,0.3145
29,5.0,9.0,0.2325,0.2275,0.259,0.284,0.289
30,10.0,0.0,0.2269999999999999,0.2225,0.2694999999999999,0.3025,0.3199999999999999
31,10.0,1.0,0.2295,0.2319999999999999,0.275,0.301,0.3285
32,10.0,2.0,0.2195,0.2199999999999999,0.2624999999999999,0.289,0.3239999999999999
33,10.0,3.0,0.2215,0.2265,0.2674999999999999,0.301,0.31
34,10.0,4.0,0.237,0.243,0.2764999999999999,0.3005,0.3115
35,10.0,5.0,0.2189999999999999,0.2335,0.273,0.298,0.3295
36,10.0,6.0,0.2215,0.2309999999999999,0.2764999999999999,0.2955,0.3179999999999999
37,10.0,7.0,0.2219999999999999,0.2339999999999999,0.2724999999999999,0.286,0.3025
38,10.0,8.0,0.2215,0.2339999999999999,0.278,0.2995,0.3339999999999999
39,10.0,9.0,0.2155,0.2269999999999999,0.269,0.293,0.3149999999999999
40,20.0,0.0,0.2069999999999999,0.2015,0.2604999999999999,0.3005,0.3229999999999999
41,20.0,1.0,0.2005,0.2155,0.272,0.294,0.3219999999999999
42,20.0,2.0,0.1979999999999999,0.2085,0.24,0.29,0.3219999999999999
43,20.0,3.0,0.1999999999999999,0.1975,0.259,0.3,0.3185
44,20.0,4.0,0.2099999999999999,0.2139999999999999,0.2465,0.295,0.3295
45,20.0,5.0,0.2029999999999999,0.2089999999999999,0.246,0.298,0.3179999999999999
46,20.0,6.0,0.1975,0.2059999999999999,0.2475,0.281,0.3189999999999999
47,20.0,7.0,0.2185,0.2229999999999999,0.2485,0.2985,0.3265
48,20.0,8.0,0.1989999999999999,0.2019999999999999,0.244,0.298,0.3269999999999999
49,20.0,9.0,0.2165,0.2185,0.2654999999999999,0.295,0.3219999999999999
