,m,r,2
0,0.0,0.0,0.25649999999999995
1,0.0,1.0,0.26049999999999995
2,0.0,2.0,0.24
3,0.0,3.0,0.248
4,0.0,4.0,0.247
5,0.0,5.0,0.25349999999999995
6,0.0,6.0,0.25249999999999995
7,0.0,7.0,0.254
8,0.0,8.0,0.242
9,0.0,9.0,0.25349999999999995
10,1.0,0.0,0.251
11,1.0,1.0,0.27
12,1.0,2.0,0.25749999999999995
13,1.0,3.0,0.26449999999999996
14,1.0,4.0,0.259
15,1.0,5.0,0.276
16,1.0,6.0,0.255
17,1.0,7.0,0.27049999999999996
18,1.0,8.0,0.26649999999999996
19,1.0,9.0,0.273
20,2.0,0.0,0.267
21,2.0,1.0,0.273
22,2.0,2.0,0.26849999999999996
23,2.0,3.0,0.263
24,2.0,4.0,0.27849999999999997
25,2.0,5.0,0.24850000000000005
26,2.0,6.0,0.26149999999999995
27,2.0,7.0,0.265
28,2.0,8.0,0.262
29,2.0,9.0,0.26049999999999995
30,3.0,0.0,0.26
31,3.0,1.0,0.267
32,3.0,2.0,0.25949999999999995
33,3.0,3.0,0.26849999999999996
34,3.0,4.0,0.27249999999999996
35,3.0,5.0,0.268
36,3.0,6.0,0.2875
37,3.0,7.0,0.268
38,3.0,8.0,0.267
39,3.0,9.0,0.28049999999999997
40,4.0,0.0,0.261
41,4.0,1.0,0.25449999999999995
42,4.0,2.0,0.26849999999999996
43,4.0,3.0,0.258
44,4.0,4.0,0.256
45,4.0,5.0,0.25749999999999995
46,4.0,6.0,0.26249999999999996
47,4.0,7.0,0.265
48,4.0,8.0,0.25649999999999995
49,4.0,9.0,0.254
50,5.0,0.0,0.25549999999999995
51,5.0,1.0,0.27449999999999997
52,5.0,2.0,0.271
53,5.0,3.0,0.266
54,5.0,4.0,0.268
55,5.0,5.0,0.269
56,5.0,6.0,0.261
57,5.0,7.0,0.26149999999999995
58,5.0,8.0,0.259
59,5.0,9.0,0.28400000000000003
60,10.0,0.0,0.279
61,10.0,1.0,0.2865
62,10.0,2.0,0.28049999999999997
63,10.0,3.0,0.27349999999999997
64,10.0,4.0,0.2935
65,10.0,5.0,0.2935
66,10.0,6.0,0.27949999999999997
67,10.0,7.0,0.2915
68,10.0,8.0,0.2875
69,10.0,9.0,0.2835
70,20.0,0.0,0.29700000000000004
71,20.0,1.0,0.27349999999999997
72,20.0,2.0,0.2865
73,20.0,3.0,0.278
74,20.0,4.0,0.27249999999999996
75,20.0,5.0,0.28049999999999997
76,20.0,6.0,0.278
77,20.0,7.0,0.26949999999999996
78,20.0,8.0,0.2815
79,20.0,9.0,0.279
