,m,r,1,1_alpha
0,0.0,0.0,0.19999999999999996,0.5
1,0.0,1.0,0.20299999999999996,0.5
2,0.0,2.0,0.19599999999999995,0.5
3,0.0,3.0,0.19799999999999995,0.5
4,0.0,4.0,0.21250000000000002,0.5
5,0.0,5.0,0.21999999999999997,0.5
6,0.0,6.0,0.1945,0.5
7,0.0,7.0,0.19499999999999995,0.5
8,0.0,8.0,0.2005,0.5
9,0.0,9.0,0.2025,0.5
10,1.0,0.0,0.1885,0.9500000000000001
11,1.0,1.0,0.1845,0.9500000000000001
12,1.0,2.0,0.18200000000000005,0.9500000000000001
13,1.0,3.0,0.1885,0.9500000000000001
14,1.0,4.0,0.1825,0.9500000000000001
15,1.0,5.0,0.1885,0.9500000000000001
16,1.0,6.0,0.18999999999999995,0.9500000000000001
17,1.0,7.0,0.19499999999999995,0.9500000000000001
18,1.0,8.0,0.1965,0.9500000000000001
19,1.0,9.0,0.2025,0.9500000000000001
20,2.0,0.0,0.18500000000000005,0.9888888888888889
21,2.0,1.0,0.1995,0.9888888888888889
22,2.0,2.0,0.1835,0.9888888888888889
23,2.0,3.0,0.20350000000000001,0.9888888888888889
24,2.0,4.0,0.18600000000000005,0.9888888888888889
25,2.0,5.0,0.19499999999999995,0.9888888888888889
26,2.0,6.0,0.1885,0.9888888888888889
27,2.0,7.0,0.1985,0.9888888888888889
28,2.0,8.0,0.1985,0.9888888888888889
29,2.0,9.0,0.19799999999999995,0.9888888888888889
30,3.0,0.0,0.1925,0.9938271604938271
31,3.0,1.0,0.1805,0.9938271604938271
32,3.0,2.0,0.1745,0.9938271604938271
33,3.0,3.0,0.1845,0.9938271604938271
34,3.0,4.0,0.19599999999999995,0.9938271604938271
35,3.0,5.0,0.18600000000000005,0.9938271604938271
36,3.0,6.0,0.1895,0.9938271604938271
37,3.0,7.0,0.1845,0.9938271604938271
38,3.0,8.0,0.1845,0.9938271604938271
39,3.0,9.0,0.18100000000000005,0.9938271604938271
40,4.0,0.0,0.19199999999999995,0.9945130315500685
41,4.0,1.0,0.1855,0.9945130315500685
42,4.0,2.0,0.17900000000000005,0.9945130315500685
43,4.0,3.0,0.1865,0.9945130315500685
44,4.0,4.0,0.19099999999999995,0.9945130315500685
45,4.0,5.0,0.1885,0.9945130315500685
46,4.0,6.0,0.1875,0.9945130315500685
47,4.0,7.0,0.1835,0.9945130315500685
48,4.0,8.0,0.1735,0.9945130315500685
49,4.0,9.0,0.18700000000000006,0.9945130315500685
50,5.0,0.0,0.1855,0.995122694711172
51,5.0,1.0,0.18000000000000005,0.995122694711172
52,5.0,2.0,0.1945,0.995122694711172
53,5.0,3.0,0.18000000000000005,0.995122694711172
54,5.0,4.0,0.18500000000000005,0.995122694711172
55,5.0,5.0,0.1805,0.995122694711172
56,5.0,6.0,0.1875,0.995122694711172
57,5.0,7.0,0.17200000000000004,0.995122694711172
58,5.0,8.0,0.18400000000000005,0.995122694711172
59,5.0,9.0,0.19799999999999995,0.995122694711172
60,10.0,0.0,0.16549999999999998,0.995122694711172
61,10.0,1.0,0.17700000000000005,0.995122694711172
62,10.0,2.0,0.17700000000000005,0.995122694711172
63,10.0,3.0,0.17049999999999998,0.995122694711172
64,10.0,4.0,0.17700000000000005,0.995122694711172
65,10.0,5.0,0.1785,0.995122694711172
66,10.0,6.0,0.1875,0.995122694711172
67,10.0,7.0,0.18400000000000005,0.995122694711172
68,10.0,8.0,0.17049999999999998,0.995122694711172
69,10.0,9.0,0.17049999999999998,0.995122694711172
70,20.0,0.0,0.17300000000000004,0.9972903859506511
71,20.0,1.0,0.18799999999999994,0.9972903859506511
72,20.0,2.0,0.1815,0.9972903859506511
73,20.0,3.0,0.16900000000000004,0.9972903859506511
74,20.0,4.0,0.1755,0.9972903859506511
75,20.0,5.0,0.17700000000000005,0.9972903859506511
76,20.0,6.0,0.18799999999999994,0.9972903859506511
77,20.0,7.0,0.17900000000000005,0.9972903859506511
78,20.0,8.0,0.17800000000000005,0.9972903859506511
79,20.0,9.0,0.18000000000000005,0.9972903859506511
